name,priority,descriptions,start,end,sprintId,status,tag,topics,assigneeId,reviewerId,subtasks,complexOfDescription,sprint,projectId,project_map,sprint_map,uniId,id
Khảo sát thị trường sách,MAJOR,"<p>Nghiên cứu các đối thủ cạnh tranh, phân tích các tính năng nổi bật của website bán sách hiện có.</p>",2025-02-09,2025-02-13,sprint1_project1,DONE,THEORY,Document,21130320,21130416,Phân tích đối thủ - Xác định điểm mạnh yếu,MEDIUM,1,project1,f38f59b8-297c-4dfb-886d-e6ff1c87545f,d1e3dfdf-dfac-4693-bb79-fa08d8aad9fc,21130320,
Xác định mô hình kinh doanh B2C sách,MINOR,<p>Định hình mô hình bán lẻ sách trực tuyến từ doanh nghiệp đến khách hàng (B2C).</p>,2025-02-10,2025-02-14,sprint1_project1,DONE,THEORY,Document,21130416,21130319,Xác định khách hàng mục tiêu - Phân tích doanh thu tiềm năng,LOW,1,project1,f38f59b8-297c-4dfb-886d-e6ff1c87545f,d1e3dfdf-dfac-4693-bb79-fa08d8aad9fc,21130320,
Lập kế hoạch dự án và phân công nhóm,MAJOR,<p>Chia nhỏ các giai đoạn phát triển và phân công trách nhiệm cho từng thành viên.</p>,2025-02-11,2025-02-15,sprint1_project1,TODO,THEORY,Document,21130319,21130320,Xác định mục tiêu - Lên lịch trình,MEDIUM,1,project1,f38f59b8-297c-4dfb-886d-e6ff1c87545f,d1e3dfdf-dfac-4693-bb79-fa08d8aad9fc,21130320,
Nghiên cứu yêu cầu hệ thống website sách,MAJOR,<p>Thu thập và phân tích các yêu cầu chức năng và phi chức năng cho website bán sách.</p>,2025-02-16,2025-02-20,sprint2_project1,INPROCESS,THEORY,Document,21130319,21130320,Phỏng vấn người dùng - Tổng hợp yêu cầu,MEDIUM,2,project1,f38f59b8-297c-4dfb-886d-e6ff1c87545f,f87463f4-3d2c-49f1-9f20-a4510eb0728f,21130320,
Lựa chọn công nghệ phát triển web sách,MINOR,"<p>Đề xuất các công nghệ (ví dụ: HTML, CSS, JavaScript, database) phù hợp cho việc xây dựng website sách.</p>",2025-02-18,2025-02-22,sprint2_project1,TODO,THEORY,Document,21130320,21130416,Đánh giá framework - Lập danh sách công cụ,LOW,2,project1,f38f59b8-297c-4dfb-886d-e6ff1c87545f,f87463f4-3d2c-49f1-9f20-a4510eb0728f,21130320,
Phân tích thiết kế hệ thống cơ sở dữ liệu,MAJOR,<p>Thiết kế cấu trúc cơ sở dữ liệu (ERD) cho website bán sách.</p>,2025-02-19,2025-02-23,sprint2_project1,TODO,PRACTICE,Document,21130416,21130319,Xác định bảng - Thiết lập mối quan hệ,MEDIUM,2,project1,f38f59b8-297c-4dfb-886d-e6ff1c87545f,f87463f4-3d2c-49f1-9f20-a4510eb0728f,21130320,
Thiết kế Use Case Diagram cho website sách,MAJOR,<p>Vẽ Use Case Diagram mô tả các tương tác giữa người dùng và hệ thống website bán sách.</p>,2025-02-23,2025-03-05,sprint3_project1,INPROCESS,PRACTICE,Document,21130416,21130319,Xác định actors - Vẽ luồng nghiệp vụ,MEDIUM,3,project1,f38f59b8-297c-4dfb-886d-e6ff1c87545f,99d36620-1576-4e19-99fb-c132541b860f,21130320,
Thiết kế kiến trúc hạ tầng website sách,MINOR,"<p>Xây dựng sơ đồ kiến trúc hệ thống, bao gồm các thành phần server, database, client.</p>",2025-02-25,2025-03-07,sprint3_project1,TODO,PRACTICE,Document,21130319,21130320,Xác định máy chủ - Chọn cơ sở dữ liệu,LOW,3,project1,f38f59b8-297c-4dfb-886d-e6ff1c87545f,99d36620-1576-4e19-99fb-c132541b860f,21130320,
Phát triển giao diện trang chủ (HTML/CSS),MAJOR,<p>Xây dựng cấu trúc và định dạng cơ bản cho trang chủ của website.</p>,2025-02-26,2025-03-08,sprint3_project1,TODO,PRACTICE,HTML-CSS,21130320,21130416,Thiết kế layout - Viết CSS,MEDIUM,3,project1,f38f59b8-297c-4dfb-886d-e6ff1c87545f,99d36620-1576-4e19-99fb-c132541b860f,21130320,
Phát triển chức năng đăng nhập/đăng ký người dùng sách,MAJOR,"<p>Hiện thực chức năng đăng nhập, đăng ký và quản lý tài khoản người dùng trên website sách.</p>",2025-03-09,2025-03-13,sprint4_project1,INPROCESS,PRACTICE,Java,21130320,21130416,Thiết kế form - Xử lý authenticate,MEDIUM,4,project1,f38f59b8-297c-4dfb-886d-e6ff1c87545f,eb648995-761c-42b7-9a55-2e2a8d67acae,21130320,
Xây dựng giao diện quản lý người dùng (Admin),MAJOR,"<p>Thiết kế và hiện thực giao diện quản lý người dùng dành cho quản trị viên, bao gồm thêm, sửa, xóa người dùng.</p>",2025-03-11,2025-03-15,sprint4_project1,TODO,PRACTICE,ReactJS,21130416,21130319,Thiết kế bảng - Xử lý phân quyền,MEDIUM,4,project1,f38f59b8-297c-4dfb-886d-e6ff1c87545f,eb648995-761c-42b7-9a55-2e2a8d67acae,21130320,
Phát triển API cho quản lý người dùng,MAJOR,<p>Xây dựng các API RESTful để tương tác với cơ sở dữ liệu người dùng.</p>,2025-03-12,2025-03-16,sprint4_project1,TODO,PRACTICE,Spring,21130319,21130320,Thiết kế endpoint - Xử lý logic nghiệp vụ,MEDIUM,4,project1,f38f59b8-297c-4dfb-886d-e6ff1c87545f,eb648995-761c-42b7-9a55-2e2a8d67acae,21130320,
Hiển thị danh sách sản phẩm sách,MAJOR,"<p>Hiện thực trang hiển thị danh sách sách, có tính năng lọc theo thể loại, giá, tác giả.</p>",2025-03-16,2025-03-25,sprint5_project1,INPROCESS,PRACTICE,ReactJS-Spring,21130319,21130320,Thiết kế layout - Tích hợp API sách,MEDIUM,5,project1,f38f59b8-297c-4dfb-886d-e6ff1c87545f,f47550be-910c-44a4-b293-eab3ee6aca92,21130320,
Xem chi tiết sản phẩm sách,MAJOR,"<p>Xây dựng trang chi tiết sách, bao gồm mô tả, hình ảnh, đánh giá và bình luận.</p>",2025-03-18,2025-03-28,sprint5_project1,TODO,PRACTICE,ReactJS-Spring,21130320,21130416,Hiển thị thông tin - Thêm phần bình luận,MEDIUM,5,project1,f38f59b8-297c-4dfb-886d-e6ff1c87545f,f47550be-910c-44a4-b293-eab3ee6aca92,21130320,
Phát triển API cho quản lý sản phẩm,MAJOR,"<p>Thiết kế và hiện thực các API để quản lý thông tin sách (thêm, sửa, xóa, tìm kiếm).</p>",2025-03-20,2025-03-30,sprint5_project1,TODO,PRACTICE,Spring,21130416,21130319,Thiết kế RESTful API - Tích hợp database,MEDIUM,5,project1,f38f59b8-297c-4dfb-886d-e6ff1c87545f,f47550be-910c-44a4-b293-eab3ee6aca92,21130320,
Hiện thực chức năng giỏ hàng sách,MAJOR,"<p>Phát triển chức năng thêm, xóa, cập nhật số lượng sách trong giỏ hàng.</p>",2025-03-30,2025-04-08,sprint6_project1,INPROCESS,PRACTICE,Spring,21130416,21130319,Lưu trữ giỏ hàng - Cập nhật số lượng,MEDIUM,6,project1,f38f59b8-297c-4dfb-886d-e6ff1c87545f,f8bdf08c-c32d-4863-86b2-44a36a756fac,21130320,
Tạo và quản lý đơn hàng sách,MAJOR,"<p>Hiện thực quy trình tạo đơn hàng, ghi nhận thông tin người nhận và trạng thái đơn hàng.</p>",2025-04-01,2025-04-10,sprint6_project1,TODO,PRACTICE,Spring,21130319,21130320,Lấy địa chỉ - Ghi nhận đơn hàng,MEDIUM,6,project1,f38f59b8-297c-4dfb-886d-e6ff1c87545f,f8bdf08c-c32d-4863-86b2-44a36a756fac,21130320,
Tích hợp thanh toán online cho sách,CRITICAL,"<p>Tích hợp cổng thanh toán trực tuyến (ví dụ: Momo, ZaloPay) cho các đơn hàng sách.</p>",2025-04-03,2025-04-12,sprint6_project1,TODO,PRACTICE,Spring,21130320,21130416,Nghiên cứu API thanh toán - Test giao dịch,HIGH,6,project1,f38f59b8-297c-4dfb-886d-e6ff1c87545f,f8bdf08c-c32d-4863-86b2-44a36a756fac,21130320,
Xây dựng tính năng tìm kiếm nâng cao cho sách,MAJOR,"<p>Phát triển chức năng tìm kiếm sách theo từ khóa, tác giả, nhà xuất bản, và các bộ lọc khác.</p>",2025-04-13,2025-04-22,sprint7_project1,TODO,PRACTICE,Spring,21130416,21130319,Thiết kế thuật toán tìm kiếm - Tối ưu hiệu suất,MEDIUM,7,project1,f38f59b8-297c-4dfb-886d-e6ff1c87545f,697b373f-2d73-48e9-90d4-ab516cc7d2aa,21130320,
Phát triển chức năng quản lý kho sách,MAJOR,"<p>Xây dựng giao diện và logic để quản lý số lượng sách tồn kho, nhập xuất.</p>",2025-04-15,2025-04-24,sprint7_project1,TODO,PRACTICE,ReactJS-Spring,21130319,21130320,Thiết kế form - Xử lý cập nhật kho,MEDIUM,7,project1,f38f59b8-297c-4dfb-886d-e6ff1c87545f,697b373f-2d73-48e9-90d4-ab516cc7d2aa,21130320,
Tối ưu hóa hiệu suất website,MINOR,<p>Thực hiện các biện pháp để tăng tốc độ tải trang và phản hồi của website.</p>,2025-04-17,2025-04-26,sprint7_project1,TODO,PRACTICE,JS,21130320,21130416,Tối ưu hình ảnh - Minify code,LOW,7,project1,f38f59b8-297c-4dfb-886d-e6ff1c87545f,697b373f-2d73-48e9-90d4-ab516cc7d2aa,21130320,
Hiện thực chức năng đánh giá và bình luận sách,MAJOR,<p>Cho phép người dùng đánh giá sao và viết bình luận cho từng quyển sách.</p>,2025-04-27,2025-05-01,sprint8_project1,TODO,PRACTICE,ReactJS-Spring,21130319,21130320,Thiết kế form đánh giá - Lưu trữ bình luận,MEDIUM,8,project1,f38f59b8-297c-4dfb-886d-e6ff1c87545f,ca990a18-1ecf-4677-b4f5-ff3f9c679fe3,21130320,
Điều chỉnh giao diện người dùng (UI) website sách,MINOR,<p>Tối ưu hóa và làm đẹp giao diện các trang đã hoàn thành để nâng cao trải nghiệm người dùng.</p>,2025-04-28,2025-05-02,sprint8_project1,TODO,PRACTICE,CSS,21130320,21130416,Sửa lỗi hiển thị - Cải thiện CSS,LOW,8,project1,f38f59b8-297c-4dfb-886d-e6ff1c87545f,ca990a18-1ecf-4677-b4f5-ff3f9c679fe3,21130320,
Triển khai CI/CD cho dự án,MAJOR,<p>Thiết lập quy trình tích hợp liên tục và triển khai liên tục cho mã nguồn.</p>,2025-04-29,2025-05-03,sprint8_project1,TODO,PRACTICE,Deployment,21130416,21130319,Cấu hình Jenkins - Viết script deploy,MEDIUM,8,project1,f38f59b8-297c-4dfb-886d-e6ff1c87545f,ca990a18-1ecf-4677-b4f5-ff3f9c679fe3,21130320,
Kiểm thử toàn diện website sách,CRITICAL,"<p>Thực hiện kiểm thử chức năng, hiệu năng và bảo mật cho toàn bộ website bán sách.</p>",2025-05-04,2025-05-08,sprint9_project1,TODO,PRACTICE,Deployment,21130416,21130319,Lập kế hoạch kiểm thử - Thực hiện test case,HIGH,9,project1,f38f59b8-297c-4dfb-886d-e6ff1c87545f,4c814469-68fa-494a-9e93-90ccff9d6eaa,21130320,
Chuẩn bị tài liệu báo cáo dự án sách,MAJOR,"<p>Tạo Use Case Diagram, ERD, và các tài liệu liên quan để báo cáo dự án.</p>",2025-05-05,2025-05-09,sprint9_project1,TODO,THEORY,Document,21130319,21130320,Viết báo cáo - Chuẩn bị slide thuyết trình,MEDIUM,9,project1,f38f59b8-297c-4dfb-886d-e6ff1c87545f,4c814469-68fa-494a-9e93-90ccff9d6eaa,21130320,
Đóng gói ứng dụng với Docker,MAJOR,<p>Tạo Dockerfile và đóng gói ứng dụng web sách vào Docker image.</p>,2025-05-06,2025-05-10,sprint9_project1,TODO,PRACTICE,Docker,21130320,21130416,Viết Dockerfile - Xây dựng image,MEDIUM,9,project1,f38f59b8-297c-4dfb-886d-e6ff1c87545f,4c814469-68fa-494a-9e93-90ccff9d6eaa,21130320,
Khảo sát thị trường điện thoại,MAJOR,<p>Nghiên cứu xu hướng thị trường điện thoại và phân tích các đối thủ cạnh tranh lớn.</p>,2025-02-09,2025-02-13,sprint1_project2,DONE,THEORY,Document,21130451,21130444,Phân tích thị phần - Đánh giá chiến lược đối thủ,MEDIUM,1,project2,9d8280d3-4095-4b0a-a51d-df8cabea7248,d1e3dfdf-dfac-4693-bb79-fa08d8aad9fc,21130451,
Xác định phạm vi dự án và mục tiêu,MAJOR,<p>Định nghĩa rõ ràng các tính năng chính và mục tiêu kinh doanh của website điện thoại.</p>,2025-02-10,2025-02-14,sprint1_project2,DONE,THEORY,Document,21130444,21130509,Xác định KPIs - Lên kế hoạch sơ bộ,MEDIUM,1,project2,9d8280d3-4095-4b0a-a51d-df8cabea7248,d1e3dfdf-dfac-4693-bb79-fa08d8aad9fc,21130451,
Thiết lập môi trường phát triển ban đầu,MINOR,<p>Cài đặt các công cụ và môi trường cần thiết cho việc phát triển web.</p>,2025-02-11,2025-02-15,sprint1_project2,DONE,PRACTICE,Deployment,21130509,21130451,Cài đặt IDE - Cấu hình Git,LOW,1,project2,9d8280d3-4095-4b0a-a51d-df8cabea7248,d1e3dfdf-dfac-4693-bb79-fa08d8aad9fc,21130451,
Xác định yêu cầu chức năng web điện thoại,MAJOR,<p>Thu thập và ghi nhận các yêu cầu cụ thể cho website bán điện thoại.</p>,2025-02-16,2025-02-20,sprint2_project2,INPROCESS,THEORY,Document,21130444,21130509,Họp với bên liên quan - Lập danh sách yêu cầu,MEDIUM,2,project2,9d8280d3-4095-4b0a-a51d-df8cabea7248,f87463f4-3d2c-49f1-9f20-a4510eb0728f,21130451,
Lựa chọn kiến trúc và công nghệ Backend,MAJOR,<p>Đề xuất kiến trúc microservices và chọn framework Spring Boot cho backend.</p>,2025-02-17,2025-02-21,sprint2_project2,TODO,THEORY,Spring,21130509,21130451,Nghiên cứu kiến trúc - Đánh giá framework,MEDIUM,2,project2,9d8280d3-4095-4b0a-a51d-df8cabea7248,f87463f4-3d2c-49f1-9f20-a4510eb0728f,21130451,
Thiết kế cơ sở dữ liệu cho sản phẩm điện thoại,MAJOR,"<p>Xây dựng ERD và các schema database cho thông tin điện thoại, người dùng, đơn hàng.</p>",2025-02-19,2025-02-23,sprint2_project2,TODO,PRACTICE,Document,21130451,21130444,Xác định bảng - Quan hệ dữ liệu,MEDIUM,2,project2,9d8280d3-4095-4b0a-a51d-df8cabea7248,f87463f4-3d2c-49f1-9f20-a4510eb0728f,21130451,
