name	priority	descriptions	start	end	sprintId	status	tag	topics	topics_mapper	assigneeId	reviewerId	subtasks	complexOfDescription	sprint	projectId	uniId	Unnamed: 17	Tag gốc	Tag ánh xạ	id
Khảo sát thị trường và đối thủ	MAJOR	Nghiên cứu các website thời trang hiện có, phân tích điểm mạnh, điểm yếu.	2025-03-10	2025-03-15	bbfddaeb-dea5-4178-b067-e0fa8812c338	DONE	THEORY	Research	Research	21130320.0	21130416.0	Khảo sát đối thủ - Phân tích tính năng	LOW	1.0	dc9af886-7862-4815-9876-037e5440de12	21130320		community-research-market-analysis	Research	
Thu thập yêu cầu tính năng	MAJOR	Gặp gỡ khách hàng/giảng viên để hiểu rõ các yêu cầu cụ thể cho website.	2025-03-12	2025-03-18	bbfddaeb-dea5-4178-b067-e0fa8812c338	DONE	THEORY	Research, Design	Research, Design	21130416.0	21130319.0	Phỏng vấn - Tổng hợp yêu cầu	MEDIUM	1.0	dc9af886-7862-4815-9876-037e5440de12	21130320		feature-analysis	Research	
Lập kế hoạch dự án ban đầu	MAJOR	Xác định phạm vi, mục tiêu và các mốc thời gian chính cho dự án.	2025-03-15	2025-03-20	bbfddaeb-dea5-4178-b067-e0fa8812c338	DONE	THEORY	Research, Design	Research, Design	21130319.0	21130320.0	Xác định scope - Đặt mục tiêu	MEDIUM	1.0	dc9af886-7862-4815-9876-037e5440de12	21130320		competitor-analysis-ux-research	Research	
Thiết kế ERD cho sản phẩm & danh mục	CRITICAL	Thiết kế mô hình quan hệ cho các bảng sản phẩm, danh mục, thuộc tính, hình ảnh.	2025-03-24	2025-03-30	d74cdee3-a4fc-44b4-bd90-1e53bec5cad1	DONE	PRACTICE	JDBC, JDBI	JDBC, JDBI	21130320.0	21130416.0	Xác định entities - Quan hệ bảng - Thiết kế khóa	HIGH	2.0	dc9af886-7862-4815-9876-037e5440de12	21130320		market-research-product-analysis	Research	
Thiết kế ERD cho người dùng & đơn hàng	CRITICAL	Xây dựng ERD cho bảng người dùng, giỏ hàng, đơn hàng, chi tiết đơn hàng, địa chỉ.	2025-03-26	2025-04-02	d74cdee3-a4fc-44b4-bd90-1e53bec5cad1	DONE	PRACTICE	JDBC, JDBI	JDBC, JDBI	21130416.0	21130319.0	Xác định entities - Quan hệ bảng - Chuẩn hóa	HIGH	2.0	dc9af886-7862-4815-9876-037e5440de12	21130320		feature-analysis-recommendation-system	Research	
Chuẩn hóa cơ sở dữ liệu & tối ưu	MAJOR	Áp dụng các dạng chuẩn (1NF, 2NF, 3NF) và tối ưu hóa truy vấn ban đầu.	2025-03-29	2025-04-05	d74cdee3-a4fc-44b4-bd90-1e53bec5cad1	DONE	THEORY	JDBC, JDBI	JDBC, JDBI	21130319.0	21130320.0	Kiểm tra chuẩn 1NF - Kiểm tra chuẩn 2NF - Đánh giá hiệu suất	MEDIUM	2.0	dc9af886-7862-4815-9876-037e5440de12	21130320		requirement-gathering	Research	
Thiết kế giao diện trang chủ	MAJOR	Tạo layout và wireframe cho trang chủ, đảm bảo tính thẩm mỹ và thân thiện với người dùng.	2025-04-07	2025-04-12	c4389934-e970-4cab-9330-2d517122d28d	DONE	PRACTICE	HTML, CSS, JS	HTML, CSS, JS	21130320.0	21130416.0	Wireframe - Mockup - Chọn font/color	MEDIUM	3.0	dc9af886-7862-4815-9876-037e5440de12	21130320		product-knowledge	Research	
Thiết kế giao diện trang chi tiết sản phẩm	MAJOR	Xây dựng template cho trang chi tiết sản phẩm, hiển thị thông tin, hình ảnh, giá, mô tả.	2025-04-09	2025-04-15	c4389934-e970-4cab-9330-2d517122d28d	DONE	PRACTICE	HTML, CSS, JS	HTML, CSS, JS	21130416.0	21130319.0	Layout - Components - Responsive design	MEDIUM	3.0	dc9af886-7862-4815-9876-037e5440de12	21130320		planning	Document	
Thiết kế giao diện giỏ hàng và thanh toán	MAJOR	Phác thảo luồng và giao diện cho quá trình thêm vào giỏ hàng và thanh toán (kiểm tra đơn hàng, điền thông tin).	2025-04-12	2025-04-19	c4389934-e970-4cab-9330-2d517122d28d	DONE	PRACTICE	HTML, CSS, JS	HTML, CSS, JS	21130319.0	21130320.0	Flowchart - Wireframe - Nút CTA	MEDIUM	3.0	dc9af886-7862-4815-9876-037e5440de12	21130320		database-design	Database, ERD	
Chuẩn bị tài liệu báo cáo giữa kì	MAJOR	Tổng hợp kết quả làm việc từ sprint 1-3, viết tài liệu báo cáo đầy đủ theo yêu cầu.	2025-04-20	2025-04-24	9000c302-d92f-436d-a59e-c1de271cbe87	DONE	THEORY	Document	Document	21130320.0	21130416.0	Tổng hợp - Viết báo cáo - Chỉnh sửa	MEDIUM	4.0	dc9af886-7862-4815-9876-037e5440de12	21130320		database-normalization-optimization	Database, ERD	
Chuẩn bị demo giao diện	MAJOR	Chuẩn bị các bản demo giao diện đã thiết kế (trang chủ, sản phẩm, giỏ hàng), đảm bảo hoạt động trơn tru.	2025-04-22	2025-04-26	9000c302-d92f-436d-a59e-c1de271cbe87	DONE	PRACTICE	HTML, CSS, JS	HTML, CSS, JS	21130416.0	21130319.0	Setup môi trường - Test demo - Chuẩn bị kịch bản	MEDIUM	4.0	dc9af886-7862-4815-9876-037e5440de12	21130320		ui-design	HTML, CSS, JS	
Hiện thực module đăng ký/đăng nhập	CRITICAL	Xây dựng chức năng đăng ký, đăng nhập người dùng, bao gồm mã hóa mật khẩu và kiểm tra thông tin.	2025-04-27	2025-05-01	02d28358-9e5a-4b65-9f56-bac4a0bffc34	INPROCESS	PRACTICE	Java, JSP, JS	Java, JSP, JS	21130319.0	21130320.0	Form đăng ký - Logic đăng nhập - Mã hóa bcrypt	HIGH	5.0	dc9af886-7862-4815-9876-037e5440de12	21130320		customization-community-feature	Java, JS, JSP	
Ứng dụng Session cho người dùng	MAJOR	Sử dụng session để lưu trữ trạng thái đăng nhập, thông tin người dùng và giỏ hàng.	2025-04-28	2025-05-03	02d28358-9e5a-4b65-9f56-bac4a0bffc34	INPROCESS	PRACTICE	Java, JSP	Java, JSP	21130320.0	21130416.0	Khởi tạo session - Lưu dữ liệu - Hủy session	MEDIUM	5.0	dc9af886-7862-4815-9876-037e5440de12	21130320		product-customization	Java, JS, JSP	
Xây dựng phân quyền cơ bản	MAJOR	Thiết lập các vai trò (admin, người dùng) và chặn truy cập vào các trang không có quyền.	2025-04-30	2025-05-03	02d28358-9e5a-4b65-9f56-bac4a0bffc34	TODO	PRACTICE	Java, JSP	Java, JSP	21130416.0	21130319.0	Tạo middleware - Kiểm tra quyền - Chuyển hướng	MEDIUM	5.0	dc9af886-7862-4815-9876-037e5440de12	21130320		product-recommendation	Java, JS, JDBC	
Hiện thực chức năng tìm kiếm sản phẩm	MAJOR	Phát triển chức năng tìm kiếm sản phẩm theo tên, danh mục, từ khóa.	2025-05-04	2025-05-07	5b1751c1-f7f6-42f3-b556-2db391f9527a	INPROCESS	PRACTICE	Java, JSP, JDBC, JDBI, JS	Java, JSP, JDBC, JDBI, JS	21130320.0	21130416.0	Query DB - Hiển thị kết quả - Phân trang	MEDIUM	6.0	dc9af886-7862-4815-9876-037e5440de12	21130320		product-comparison	Java, JS	
Xây dựng trang sản phẩm bán chạy	MAJOR	Hiện thực logic hiển thị các sản phẩm được bán nhiều nhất hoặc xem nhiều nhất.	2025-05-06	2025-05-09	5b1751c1-f7f6-42f3-b556-2db391f9527a	TODO	PRACTICE	Java, JSP, JDBC, JDBI, HTML, CSS, JS	Java, JSP, JDBC, JDBI, HTML, CSS, JS	21130416.0	21130319.0	Logic truy vấn - Thiết kế UI - Tối ưu hiệu suất	MEDIUM	6.0	dc9af886-7862-4815-9876-037e5440de12	21130320		personalized-recommendation	Java, JS, JDBC	
Hiện thực giao diện Admin quản lý sản phẩm	CRITICAL	Xây dựng trang admin để thêm, sửa, xóa sản phẩm, quản lý hình ảnh và thuộc tính.	2025-05-08	2025-05-10	5b1751c1-f7f6-42f3-b556-2db391f9527a	TODO	PRACTICE	Java, JSP, JDBC, JDBI, HTML, CSS, JS	Java, JSP, JDBC, JDBI, HTML, CSS, JS	21130319.0	21130320.0	Form thêm/sửa - Logic xử lý - Upload ảnh	HIGH	6.0	dc9af886-7862-4815-9876-037e5440de12	21130320		movie-showtime-display	Java, JSP, JS	
Lưu giỏ hàng trong session	MAJOR	Hiện thực tính năng thêm sản phẩm vào giỏ hàng và lưu trữ thông tin trong session.	2025-05-11	2025-05-14	8bace90b-9f85-46b3-9411-8e098ba21c6e	INPROCESS	PRACTICE	Java, JSP	Java, JSP	21130320.0	21130416.0	Thêm vào giỏ - Cập nhật số lượng - Xóa khỏi giỏ	MEDIUM	7.0	dc9af886-7862-4815-9876-037e5440de12	21130320		movie-display	JSP, HTML, JS	
Phân biệt sản phẩm giống/khác trong giỏ hàng	MAJOR	Xử lý logic khi thêm sản phẩm có thuộc tính khác nhau (màu, size) vào giỏ hàng.	2025-05-13	2025-05-17	8bace90b-9f85-46b3-9411-8e098ba21c6e	TODO	PRACTICE	Java, JSP	Java, JSP	21130416.0	21130319.0	Logic so sánh - Hiển thị chi tiết - Tổng tiền	MEDIUM	7.0	dc9af886-7862-4815-9876-037e5440de12	21130320		event-display	HTML, JS	
Hiện thực cách tính tiền cho sản phẩm	CRITICAL	Xây dựng logic tính toán tổng tiền cho các sản phẩm trong giỏ hàng, bao gồm thuế, phí ship.	2025-05-18	2025-05-21	55737e22-cac3-411e-96a1-b5b1a1488b61	INPROCESS	PRACTICE	Java	Java	21130319.0	21130320.0	Cộng sản phẩm - Áp dụng giảm giá - Tính phí ship	HIGH	8.0	dc9af886-7862-4815-9876-037e5440de12	21130320		seat-selection-logic	Java, JS	
Hiển thị lịch sử đơn hàng cho người dùng	MAJOR	Phát triển trang để người dùng có thể xem lại các đơn hàng đã đặt, trạng thái đơn hàng.	2025-05-20	2025-05-24	55737e22-cac3-411e-96a1-b5b1a1488b61	TODO	PRACTICE	Java, JSP, JDBC, JDBI, HTML, CSS, JS	Java, JSP, JDBC, JDBI, HTML, CSS, JS	21130320.0	21130416.0	Truy vấn đơn hàng - Hiển thị bảng - Chi tiết đơn	MEDIUM	8.0	dc9af886-7862-4815-9876-037e5440de12	21130320		ticket-pricing-cart	Java, JS	
