name,priority,descriptions,start,end,sprintId,status,tag,topics,assigneeId,reviewerId,subtasks,complexOfDescription,sprint,projectId,sprint_map,project_map,uniId
Khảo sát thị trường nhà hàng,MAJOR,"<p>Nghiên cứu các ứng dụng đặt bàn hiện có, phân tích điểm mạnh yếu của đối thủ.</p>",2025-02-09,2025-02-13,sprint1_project1,DONE,THEORY,Research,21130320,21130416,Phân tích đối thủ - Xác định tính năng nổi bật,MEDIUM,1,project1,c469d85a-a19c-4411-88ca-c0041af4f8e5,821a94e2-eccb-4704-a2d6-2bd63068469a,21130320
Xác định yêu cầu chức năng cho ứng dụng đặt bàn,MAJOR,"<p>Thu thập và liệt kê các tính năng cần thiết cho ứng dụng (tìm kiếm, đặt bàn, xem menu).</p>",2025-02-10,2025-02-14,sprint1_project1,DONE,THEORY,Document,21130416,21130319,Phỏng vấn người dùng - Tổng hợp yêu cầu,MEDIUM,1,project1,c469d85a-a19c-4411-88ca-c0041af4f8e5,821a94e2-eccb-4704-a2d6-2bd63068469a,21130320
Thiết lập môi trường phát triển Android,MINOR,"<p>Cài đặt Android Studio, SDK và cấu hình project ban đầu.</p>",2025-02-11,2025-02-15,sprint1_project1,DONE,PRACTICE,Android,21130319,21130320,Cài đặt Android Studio - Khởi tạo project,LOW,1,project1,c469d85a-a19c-4411-88ca-c0041af4f8e5,821a94e2-eccb-4704-a2d6-2bd63068469a,21130320
Tìm hiểu kiến trúc Android cơ bản,MAJOR,"<p>Nghiên cứu về Activity, Fragment, Intent và vòng đời của chúng.</p>",2025-02-16,2025-02-20,sprint2_project1,INPROCESS,THEORY,Android,21130416,21130319,Đọc tài liệu Android - Chạy thử ví dụ,MEDIUM,2,project1,36524122-5b4b-47aa-8d46-d064c6cb28fd,821a94e2-eccb-4704-a2d6-2bd63068469a,21130320
Thiết kế giao diện Prototype trang chủ (XML),MAJOR,<p>Xây dựng layout XML cho trang chủ ứng dụng đặt bàn.</p>,2025-02-23,2025-03-01,sprint2_project1,TODO,PRACTICE,XML-Android,21130319,21130320,Vẽ wireframe - Code XML,MEDIUM,2,project1,36524122-5b4b-47aa-8d46-d064c6cb28fd,821a94e2-eccb-4704-a2d6-2bd63068469a,21130320
Phân tích thiết kế Database cho nhà hàng,MAJOR,"<p>Thiết kế cấu trúc cơ sở dữ liệu cho thông tin nhà hàng, món ăn, người dùng, đặt bàn.</p>",2025-02-25,2025-03-01,sprint2_project1,TODO,PRACTICE,Database-Document,21130320,21130416,Xác định bảng - Thiết lập mối quan hệ,MEDIUM,2,project1,36524122-5b4b-47aa-8d46-d064c6cb28fd,821a94e2-eccb-4704-a2d6-2bd63068469a,21130320
Hiện thực màn hình đăng nhập,MAJOR,<p>Code giao diện và logic đăng nhập người dùng vào ứng dụng.</p>,2025-03-02,2025-03-08,sprint3_project1,INPROCESS,PRACTICE,Android,21130319,21130320,Thiết kế layout - Xử lý input,MEDIUM,3,project1,dea18fd8-488a-4ba4-ab67-465749cc8498,821a94e2-eccb-4704-a2d6-2bd63068469a,21130320
Xây dựng API xác thực người dùng (Backend),MAJOR,"<p>Phát triển các API backend để xử lý đăng ký, đăng nhập và tạo token.</p>",2025-03-04,2025-03-08,sprint3_project1,TODO,PRACTICE,Research-Android,21130320,21130416,Thiết kế endpoint - Xử lý logic xác thực,MEDIUM,3,project1,dea18fd8-488a-4ba4-ab67-465749cc8498,821a94e2-eccb-4704-a2d6-2bd63068469a,21130320
Hiện thực chức năng đăng ký tài khoản,MAJOR,<p>Code giao diện và logic đăng ký tài khoản mới cho người dùng.</p>,2025-03-05,2025-03-08,sprint3_project1,TODO,PRACTICE,Android,21130416,21130319,Thiết kế form - Kết nối API,MEDIUM,3,project1,dea18fd8-488a-4ba4-ab67-465749cc8498,821a94e2-eccb-4704-a2d6-2bd63068469a,21130320
Hiện thực chức năng cập nhật thông tin cá nhân,MAJOR,"<p>Cho phép người dùng xem và chỉnh sửa thông tin cá nhân (tên, email, số điện thoại).</p>",2025-03-09,2025-03-15,sprint4_project1,INPROCESS,PRACTICE,Android,21130320,21130416,Thiết kế layout - Tích hợp API cập nhật,MEDIUM,4,project1,e3fcd8e9-d658-4bbe-bb8f-6bf08a593ad3,821a94e2-eccb-4704-a2d6-2bd63068469a,21130320
Hiện thực chức năng đổi mật khẩu,MAJOR,<p>Code giao diện và logic để người dùng có thể đổi mật khẩu của mình.</p>,2025-03-10,2025-03-15,sprint4_project1,TODO,PRACTICE,Android,21130416,21130319,Thiết kế form - Gửi yêu cầu đổi mật khẩu,MEDIUM,4,project1,e3fcd8e9-d658-4bbe-bb8f-6bf08a593ad3,821a94e2-eccb-4704-a2d6-2bd63068469a,21130320
Xây dựng API cho User Profile (Backend),MAJOR,<p>Phát triển API để lấy và cập nhật thông tin người dùng.</p>,2025-03-12,2025-03-15,sprint4_project1,TODO,PRACTICE,Research-Database,21130319,21130320,Thiết kế endpoint - Kết nối Database,MEDIUM,4,project1,e3fcd8e9-d658-4bbe-bb8f-6bf08a593ad3,821a94e2-eccb-4704-a2d6-2bd63068469a,21130320
Hiện thực chức năng tìm kiếm nhà hàng,MAJOR,"<p>Cho phép người dùng tìm kiếm nhà hàng theo tên, địa điểm, thể loại.</p>",2025-03-16,2025-03-29,sprint5_project1,INPROCESS,PRACTICE,Android-Database,21130416,21130319,Thiết kế giao diện tìm kiếm - Tích hợp API,MEDIUM,5,project1,d7111352-035f-46fa-9d96-85812f81b0f4,821a94e2-eccb-4704-a2d6-2bd63068469a,21130320
Xây dựng trang chi tiết nhà hàng và menu,MAJOR,"<p>Hiển thị thông tin chi tiết của nhà hàng, bao gồm menu và hình ảnh.</p>",2025-03-18,2025-03-29,sprint5_project1,TODO,PRACTICE,Android-XML,21130319,21130320,Thiết kế layout - Load dữ liệu từ API,MEDIUM,5,project1,d7111352-035f-46fa-9d96-85812f81b0f4,821a94e2-eccb-4704-a2d6-2bd63068469a,21130320
Hiện thực chức năng đặt bàn,MAJOR,"<p>Cho phép người dùng chọn thời gian, số lượng người và đặt bàn tại nhà hàng.</p>",2025-03-20,2025-03-29,sprint5_project1,TODO,PRACTICE,Android-Database,21130320,21130416,Thiết kế form đặt bàn - Gửi yêu cầu đặt bàn,MEDIUM,5,project1,d7111352-035f-46fa-9d96-85812f81b0f4,821a94e2-eccb-4704-a2d6-2bd63068469a,21130320
Xây dựng chức năng quản lý nhà hàng (Admin),MAJOR,"<p>Hiện thực giao diện và logic để quản lý thông tin nhà hàng (thêm, sửa, xóa).</p>",2025-03-30,2025-04-12,sprint6_project1,INPROCESS,PRACTICE,Android-Database,21130319,21130320,Thiết kế trang Admin - Xử lý CRUD nhà hàng,MEDIUM,6,project1,9a767bf6-8caf-43d2-b1d2-2e00b54bd6a7,821a94e2-eccb-4704-a2d6-2bd63068469a,21130320
Phát triển chức năng quản lý món ăn (Admin),MAJOR,"<p>Cho phép quản trị viên thêm, sửa, xóa món ăn và cập nhật giá.</p>",2025-04-02,2025-04-12,sprint6_project1,TODO,PRACTICE,Android-Database,21130320,21130416,Thiết kế form món ăn - Tích hợp API,MEDIUM,6,project1,9a767bf6-8caf-43d2-b1d2-2e00b54bd6a7,821a94e2-eccb-4704-a2d6-2bd63068469a,21130320
